id,question,instructor_answer,student_answer,score_grader_1,score_grader_2,score_avg
E12.Q03.A18,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"2^(log n), n^3, n^2,  log(log n), n!",6.0,2.0,2.0
E12.Q03.A19,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"linear, logarithmic, exponential, linear, linear",6.0,0.0,1.5
E12.Q03.A20,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"quickest at top, slowest at bottom<br>log(log n)<br>n^2<br>n^3<br>2^(log n)<br>n!",8.0,8.0,4.0
E12.Q03.A21,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,longest to shortest:<br>n^3; n!; n^2; 2^(log n); log(log n),6.0,6.0,3.0
E12.Q03.A22,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,2^(log n)<br>n^2<br>^3<br>log(long n)<br>n!,9.0,4.0,3.25
E12.Q03.A23,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,from lowest to highest<br>1- long(long n)<br>2- 2^log(n)<br>3- n^2<br>4- N^3<br>5- n!,10.0,10.0,5.0
E12.Q03.A24,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,log(log n); n^2; n^3; n!; 2^(log n),8.5,8.0,4.125
E12.Q03.A25,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,n^2; n!; n^3; 2^(log n); log(log n),9.0,0.0,2.25
E12.Q03.A26,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"worst to best: n!, n^3, n^2, 2^(log n), log(log n)",10.0,10.0,5.0
E12.Q03.A27,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"log(long n),  2^(log n); n^2, n^3;",10.0,9.0,4.75
